Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Average
1,1,3,2,1,1,1,1,0,1,1.2
2,2,3,0,0,1,3,3,0,3,1.7
1,3,3,3,0,2,3,3,2,2,2.2
1,3,4,1,1,2,2,4,1,2,2.1
2,1,4,0,4,5,2,1,3,2,2.4
3,2,3,6,3,1,0,4,2,0,2.4
4,1,5,4,3,4,1,3,1,7,3.3
5,3,2,5,3,4,1,3,1,1,2.8
2,4,1,6,3,3,1,11,0,2,3.3
5,3,5,12,3,1,1,5,1,1,3.7
7,5,4,3,3,2,5,3,3,3,3.8
5,3,7,10,1,2,0,4,0,7,3.9
5,2,6,7,4,8,2,10,1,4,4.9
6,3,11,7,3,4,1,6,4,5,5
8,6,6,5,7,4,1,11,3,7,5.8
5,6,4,2,3,4,2,3,3,5,3.7
2,5,4,5,6,8,4,10,3,15,6.2
13,3,5,7,6,7,3,8,4,9,6.5
5,3,5,11,4,13,4,9,4,8,6.6
15,3,7,9,3,11,8,9,1,5,7.1
14,2,3,8,6,6,5,6,3,10,6.3
10,6,8,19,3,10,7,9,8,10,9
9,4,7,10,6,11,3,9,4,5,6.8
11,6,5,11,4,7,6,10,1,10,7.1
15,9,3,6,7,8,8,6,4,14,8
11,1,2,6,8,10,11,9,3,8,6.9
12,6,1,9,11,11,9,7,2,11,7.9
11,3,2,6,5,13,13,11,2,6,7.2
8,3,1,6,4,14,5,9,3,8,6.1
12,2,1,6,2,11,15,14,3,9,7.5
19,2,1,6,10,12,16,4,4,9,8.3
19,4,1,5,8,4,16,11,3,12,8.3
13,3,2,8,10,9,17,10,2,8,8.2
11,5,4,11,5,12,18,9,1,11,8.7
19,4,1,13,4,17,19,7,0,6,9
14,8,2,10,5,15,15,11,3,14,9.7
13,7,1,5,9,13,7,11,2,12,8
22,9,2,4,10,12,25,7,1,12,10.4
18,5,3,8,7,8,19,8,5,13,9.4
18,3,2,5,12,17,12,12,1,9,9.1
14,10,4,7,14,12,20,14,7,6,10.8
19,1,1,7,6,9,9,18,4,7,8.1
16,4,2,5,12,8,17,11,5,7,8.7
12,12,0,10,8,15,16,13,4,20,11
12,0,2,6,9,10,10,14,2,14,7.9
18,3,2,7,13,15,20,12,1,9,10
13,4,0,14,13,8,20,19,0,13,10.4
16,4,2,23,13,7,13,18,2,10,10.8
14,8,1,15,17,13,15,13,4,7,10.7
18,7,2,8,4,14,14,18,0,7,9.2
17,8,2,12,14,9,14,18,3,4,10.1
21,7,1,7,9,18,16,11,3,4,9.7
10,4,0,14,6,11,17,11,3,8,8.4
13,9,0,4,18,12,23,16,3,8,10.6
16,6,4,17,16,10,18,16,4,11,11.8
15,11,5,8,3,12,10,15,0,12,9.1
17,9,2,9,11,12,17,19,4,7,10.7
11,8,1,19,15,10,19,19,3,10,11.5
11,11,1,19,10,8,15,26,3,7,11.1
13,6,3,16,15,8,22,18,2,11,11.4
15,10,3,9,7,8,19,10,0,8,8.9
11,12,3,13,10,13,15,18,1,8,10.4
11,9,2,18,13,14,11,18,0,4,10
10,8,1,19,8,9,16,18,1,11,10.1
8,9,6,11,17,11,22,22,1,3,11
11,11,4,13,15,14,7,11,0,3,8.9
16,16,4,20,17,6,10,15,2,7,11.3
19,6,10,12,9,12,17,10,1,6,10.2
16,11,1,22,14,15,13,16,2,14,12.4
9,11,1,19,8,9,12,19,0,8,9.6
19,14,2,16,12,10,10,19,1,4,10.7
21,12,7,17,24,16,8,15,6,13,13.9
12,8,5,9,17,11,10,8,3,7,9
16,9,2,16,17,11,11,17,1,12,11.2
7,7,5,28,18,10,14,11,0,7,10.7
15,6,5,18,30,11,25,12,1,10,13.3
11,4,6,13,18,18,9,19,4,8,11
11,7,3,16,22,16,22,20,3,10,13
6,11,6,25,15,8,15,15,1,8,11
15,19,4,17,7,18,18,16,1,8,12.3
12,7,4,25,9,12,15,14,1,10,10.9
9,12,0,16,14,11,14,13,2,6,9.7
14,6,0,21,13,7,15,20,2,12,11
8,10,2,18,18,13,17,25,0,9,12
14,9,2,16,14,10,15,15,1,14,11
15,13,5,17,15,8,12,14,1,15,11.5
10,8,5,26,21,12,15,12,1,11,12.1
7,12,5,28,24,18,19,16,1,11,14.1
8,8,4,19,11,13,12,14,2,13,10.4
19,12,0,21,15,15,15,15,1,12,12.5
5,12,7,23,15,14,17,19,3,9,12.4
12,9,3,21,11,13,17,12,1,12,11.1
10,11,0,21,16,13,20,13,2,19,12.5
14,10,1,23,21,18,14,13,5,13,13.2
16,5,0,21,15,17,7,13,1,18,11.3
20,7,2,25,15,12,8,17,2,14,12.2
14,8,3,14,12,15,12,22,6,10,11.6
17,11,1,22,13,14,15,13,5,5,11.6
14,7,1,25,17,12,17,19,1,13,12.6
12,10,0,26,10,13,13,13,6,21,12.4
