Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
3118,2822,4579,3654,3679,5684,4928,6468,5046,1864,2613,1547,3833.5
4025,4323,2420,4243,4568,2950,3572,2744,3199,4629,4036,2726,3619.5833333333335
3992,2775,2306,2458,4205,1786,3004,2774,4301,2563,751,2311,2768.8333333333335
3539,1799,1721,2652,2390,4842,611,4525,4983,4565,3468,2617,3142.6666666666665
2807,3291,1956,2808,1800,2708,1477,2193,2844,2692,2643,3770,2582.4166666666665
3614,3029,3548,3541,1627,2391,2015,2333,1048,1366,1680,4563,2562.9166666666665
2386,1506,1107,1739,2895,5123,898,1129,473,2175,2234,4551,2184.6666666666665
1816,691,2923,1146,1062,2702,0,0,788,1862,2354,3703,1587.25
1983,1516,1433,813,1611,3518,638,805,518,817,1173,2062,1407.25
2479,899,520,580,480,1457,788,477,1990,948,2398,635,1137.5833333333333
1028,1167,0,1589,1781,442,3477,717,2011,2097,3208,556,1506.0833333333333
1852,1095,368,572,1108,81,2611,732,274,1782,1197,862,1044.5
2151,2210,577,1360,1847,1778,3099,2211,1480,1013,960,243,1577.4166666666667
913,3358,0,285,162,205,829,1393,2106,1163,2171,0,1048.75
1903,1304,129,2867,1760,3540,2579,850,852,1042,2832,1287,1745.4166666666667
2240,3310,0,2283,2055,361,2059,566,588,1071,943,2293,1480.75
2207,1906,1610,1841,106,753,1595,264,0,1210,3857,517,1322.1666666666667
1555,1142,1076,1187,302,865,2715,1336,473,1875,2549,821,1324.6666666666667
404,1091,1709,389,1874,677,1482,1973,227,651,3593,710,1231.6666666666667
1022,503,691,256,1133,0,1245,1057,373,656,1398,1393,810.5833333333334
1299,1251,0,735,1438,1463,1314,358,658,1149,2073,203,995.0833333333334
1192,869,1746,698,354,527,1942,0,727,1384,1388,494,943.4166666666666
1555,271,277,645,0,680,2424,555,0,768,170,1470,734.5833333333334
816,0,820,933,76,364,591,0,1935,2037,2954,929,954.5833333333334
792,648,1020,1024,1407,454,2651,0,1730,2135,1911,1364,1261.3333333333333
479,2815,372,1601,579,904,1847,150,1023,280,2954,1794,1233.1666666666667
706,1371,1123,1779,0,1770,1510,0,440,220,1407,1423,979.0833333333334
402,1913,841,622,699,1970,289,464,155,375,1578,988,858
1935,310,0,0,1774,1581,1448,0,905,36,3076,1545,1050.8333333333333
1702,1973,378,11,173,155,1436,0,1957,475,3230,1704,1099.5
357,325,0,0,1346,752,402,0,1164,859,4567,1268,920
541,533,908,0,1671,0,0,0,665,282,2159,2557,776.3333333333334
339,253,1181,0,759,435,2860,608,1599,711,1400,1808,996.0833333333334
824,253,1921,0,636,2594,1848,0,1224,476,1009,2216,1083.4166666666667
0,598,345,0,387,0,2206,0,661,1671,1448,1421,728.0833333333334
6,70,677,0,556,755,2959,0,3295,2134,2707,734,1157.75
1132,406,413,318,0,1314,2009,170,770,2061,691,1147,869.25
869,0,733,683,1601,492,1213,0,2054,182,2609,734,930.8333333333334
1223,846,1324,0,1159,1237,1181,289,729,813,2268,23,924.3333333333334
470,414,673,370,1835,1143,2248,870,0,598,2446,0,922.25
362,1025,913,1375,2424,1770,3025,0,0,2220,2233,534,1323.4166666666667
0,1107,351,0,417,2696,1635,0,1268,1949,338,928,890.75
521,1713,1691,148,2291,0,2476,0,741,520,1529,1035,1055.4166666666667
305,2167,1508,665,886,941,131,500,998,1651,1278,0,919.1666666666666
581,636,0,293,1318,840,1905,996,1065,1152,2889,371,1003.8333333333334
0,3046,237,255,1350,792,674,1275,897,1478,1918,991,1076.0833333333333
117,2647,123,0,799,530,2100,401,2611,868,3121,1683,1250
876,2278,656,0,0,1578,2364,36,2927,575,3210,544,1253.6666666666667
338,3795,0,421,0,808,1829,1310,1655,3335,2043,553,1340.5833333333333
309,1510,0,0,1564,697,1475,857,3790,1304,1448,1028,1165.1666666666667
314,28,0,0,490,296,1673,1835,2441,435,2216,567,857.9166666666666
490,2306,348,0,938,0,557,654,2327,471,4270,898,1104.9166666666667
1850,2279,1266,0,0,715,1420,501,2250,408,2014,1391,1174.5
883,46,1042,0,0,1017,586,835,2828,525,1652,1210,885.3333333333334
1661,52,531,133,875,543,0,1245,1621,2695,3922,352,1135.8333333333333
0,365,1193,0,0,1704,1224,2025,1507,755,2660,300,977.75
279,136,0,10,0,391,366,1607,1733,2440,3386,2237,1048.75
216,0,1138,826,983,819,2043,2996,2375,1396,2891,1054,1394.75
1396,465,1023,0,188,313,2200,3801,5739,2844,1932,2072,1831.0833333333333
759,0,2446,259,988,890,806,4543,3073,3484,929,606,1565.25
1118,0,158,603,1652,0,1699,2246,3298,2880,2629,2464,1562.25
2118,0,1655,0,1289,125,39,3643,2078,2510,1830,1644,1410.9166666666667
1124,616,842,668,0,524,2898,2456,2049,2750,962,1297,1348.8333333333333
2952,0,3409,620,0,994,1286,1073,913,2281,3741,1734,1583.5833333333333
293,0,1520,1814,789,839,1730,2999,1411,1573,1729,762,1288.25
1754,2074,1155,1093,874,1568,137,3469,865,1714,2984,1467,1596.1666666666667
2058,1341,1631,1097,1517,376,2571,2276,410,564,800,461,1258.5
4218,0,1880,1711,563,1204,3467,3260,1284,4800,2942,464,2149.4166666666665
486,0,1264,156,51,2008,693,5472,585,1228,1775,1297,1251.25
2320,23,2350,258,2399,1352,3644,4349,0,1618,2657,1150,1843.3333333333333
1640,1978,471,1185,1527,2440,1171,3806,528,2054,1465,3212,1789.75
2394,1084,1327,654,0,276,3584,5337,632,1519,2479,3139,1868.75
2318,2435,1137,127,805,327,1003,4963,1275,2377,2219,2856,1820.1666666666667
2118,3253,1990,1592,169,726,659,2973,409,1132,2106,1936,1588.5833333333333
872,1462,476,316,970,544,1245,1875,56,2037,1593,2083,1127.4166666666667
291,2691,1740,837,345,765,1789,1765,790,2095,2484,885,1373.0833333333333
220,482,776,677,676,418,1753,2052,251,2172,2782,1105,1113.6666666666667
0,52,2593,907,1067,575,1151,578,1289,0,1574,888,889.5
408,200,1387,0,636,0,2627,111,777,1405,2032,1730,942.75
243,272,389,209,816,635,1684,458,662,570,1890,1356,765.3333333333334
0,998,292,319,1572,925,1593,821,1997,1297,2422,871,1092.25
999,60,642,0,785,485,339,940,1108,1299,1713,1866,853
177,528,301,837,586,899,1038,3566,0,624,2688,813,1004.75
1771,1250,1548,104,1030,280,462,1190,465,2349,2517,2061,1252.25
629,2167,627,602,0,0,3153,1285,1149,1878,1347,703,1128.3333333333333
3079,945,30,1594,803,194,3474,1378,2122,4987,2407,799,1817.6666666666667
3571,155,1312,2398,182,1196,2802,1260,2069,2640,2066,1815,1788.8333333333333
4023,607,617,0,0,0,1808,1657,307,955,2514,1395,1156.9166666666667
1656,509,1273,0,1339,0,284,628,1394,522,1642,0,770.5833333333334
2130,0,675,1107,643,1374,1156,3349,1685,0,1976,666,1230.0833333333333
2629,1898,441,1771,426,910,785,3196,907,2110,1119,1045,1436.4166666666667
246,0,0,31,1280,1357,17,2245,3745,2240,1988,1186,1194.5833333333333
2066,0,1708,599,466,285,1160,3636,655,908,2479,712,1222.8333333333333
1593,2,306,0,1383,218,404,1357,830,217,3124,940,864.5
3500,585,0,905,477,2720,589,1376,1091,402,2400,0,1170.4166666666667
1482,391,0,313,647,1311,1516,1913,1515,212,2167,92,963.25
1640,265,396,0,2576,1054,1743,1852,1631,0,2636,233,1168.8333333333333
1518,3564,0,1993,688,231,889,77,1489,0,2601,539,1132.4166666666667
1257,295,0,1975,1800,1466,978,517,1083,670,3777,363,1181.75
1922,1014,0,2232,1862,87,2343,0,342,803,710,653,997.3333333333334
